weekday,weekno,crimedate,DECEPTIVE_PRACTICE,CRIMINAL_DAMAGE,BATTERY,INTERFERENCE_WITH_PUBLIC_OFFICER,OFFENSE_INVOLVING_CHILDREN,SEX_OFFENSE,OTHER_OFFENSE,THEFT,CRIMINAL_TRESPASS,ROBBERY,MOTOR_VEHICLE_THEFT,PUBLIC_PEACE_VIOLATION,WEAPONS_VIOLATION,BURGLARY,INTIMIDATION,LIQUOR_LAW_VIOLATION,ASSAULT,HOMICIDE,PROSTITUTION,GAMBLING,STALKING,KIDNAPPING,ARSON,OBSCENITY,CONCEALED_CARRY_LICENSE_VIOLATION,PUBLIC_INDECENCY,HUMAN_TRAFFICKING,RITUALISM,DOMESTIC_VIOLENCE,NARCOTICS,CRIMINAL_SEXUAL_ASSAULT,NON_CRIMINAL,TOTAL_CRIMES
6,16,2001-04-20,51,180,299,3,6,4,77,285,39,52,77,10,14,69,0,11,102,4,48,0,1,2,0,0,0,0,0,0,0,136,5,0,1475
7,16,2001-04-21,25,196,343,1,10,5,69,233,33,46,78,3,9,51,3,7,97,2,27,2,2,2,4,0,0,0,0,0,0,117,5,0,1370
1,16,2001-04-22,20,157,385,2,6,9,83,216,37,54,63,7,8,60,0,1,100,4,11,2,1,2,5,0,0,0,0,0,0,114,6,0,1353
2,17,2001-04-23,47,159,245,1,4,10,99,258,41,28,74,11,12,78,2,2,95,3,6,6,0,1,3,0,0,0,0,0,0,120,3,0,1308
3,17,2001-04-24,43,149,261,0,8,4,83,256,31,43,70,11,13,59,0,5,95,1,16,6,0,1,4,0,0,0,0,0,0,132,3,0,1294
4,17,2001-04-25,35,158,280,0,5,5,71,262,47,33,62,15,9,72,1,4,92,3,16,1,3,4,4,0,0,0,0,0,0,114,3,0,1299
5,17,2001-04-26,48,157,283,2,6,5,86,264,29,46,65,11,12,65,1,7,102,0,25,2,1,1,5,1,0,0,0,0,0,131,3,0,1358
6,17,2001-04-27,37,178,306,3,5,8,67,321,44,64,79,15,12,73,0,6,114,2,26,4,1,4,4,0,0,0,0,0,0,123,8,0,1504
7,17,2001-04-28,29,184,271,0,8,2,73,247,40,41,76,8,10,66,0,3,96,0,11,5,0,0,4,0,0,0,0,0,0,123,5,0,1302
1,17,2001-04-29,15,175,367,2,5,8,63,195,42,49,75,8,9,62,0,7,80,1,10,4,0,4,2,0,0,1,0,0,0,107,4,0,1295
2,18,2001-04-30,47,154,321,0,7,5,75,289,40,51,59,5,15,59,0,10,108,0,12,2,4,1,1,0,0,0,0,0,0,161,7,0,1433
3,18,2001-05-01,60,152,301,1,17,15,132,339,29,48,55,8,14,50,1,4,137,4,15,2,1,2,1,0,0,0,0,0,0,147,10,0,1545
4,18,2001-05-02,44,158,327,0,6,14,85,252,38,36,67,6,16,57,0,4,119,2,29,3,0,2,7,0,0,0,0,0,0,182,8,0,1462
5,18,2001-05-03,56,128,351,1,12,10,81,264,39,59,51,6,11,76,1,8,121,2,14,7,2,1,2,0,0,0,0,0,0,132,6,0,1441
6,18,2001-05-04,36,191,318,3,3,9,95,297,36,52,75,12,10,66,0,5,114,1,17,3,0,2,3,0,0,0,0,0,0,180,5,0,1533
7,18,2001-05-05,43,183,326,0,11,4,86,283,30,53,75,5,10,49,0,9,78,0,7,3,0,0,5,0,0,0,0,0,0,80,7,0,1347
1,18,2001-05-06,18,158,317,1,6,4,71,236,25,55,86,6,10,58,0,7,74,4,7,4,0,3,4,0,0,0,0,0,0,64,4,0,1222
2,19,2001-05-07,42,148,250,1,5,14,88,302,36,53,71,13,18,58,0,5,108,5,11,3,0,1,4,0,0,0,0,0,0,149,6,0,1391
3,19,2001-05-08,61,158,289,4,6,14,85,274,27,41,72,9,11,56,3,6,111,0,17,2,2,0,3,0,0,0,0,0,0,157,4,0,1412
4,19,2001-05-09,42,147,325,0,6,10,91,310,37,31,63,14,17,52,1,7,103,3,20,3,0,2,1,0,0,0,0,0,0,179,5,0,1469
